,level,sequence,psnr,bpp
0,0,beauty,34.14817628860474,0.0155223511911714
1,0,bosphorus,38.170049018859864,0.017521204295178013
2,0,honeybee,36.947595240275064,0.011648384850604054
3,0,jockey,37.67388081868489,0.040659137082982945
4,0,readysetgo,36.35623243331909,0.053443610409552186
5,0,shakendry,35.226504211425784,0.04153736806151307
6,0,yachtride,36.34167345046997,0.060160077306174446
7,1,beauty,34.38465051651001,0.03809032375194408
8,1,bosphorus,39.14457471211751,0.022128789919394033
9,1,honeybee,37.59898335138957,0.015042847315372263
10,1,jockey,38.21332395553589,0.04891014292524676
11,1,readysetgo,37.564994926452634,0.06983102757253766
12,1,shakendry,36.18737496693929,0.06084873845430069
13,1,yachtride,37.64825777689616,0.0835526216828774
14,2,beauty,34.789220867156985,0.08669607818980275
15,2,bosphorus,40.10641803105672,0.03525742124078696
16,2,honeybee,38.08207234064738,0.021978429219752182
17,2,jockey,38.75746252695719,0.0644688164385258
18,2,readysetgo,38.74907664616903,0.09621082239818181
19,2,shakendry,37.10334973653158,0.09496892728844787
20,2,yachtride,38.966930662790936,0.12198738267686632
21,3,beauty,35.593033459981285,0.22026975610050153
22,3,bosphorus,41.025532983144124,0.05219431475572626
23,3,honeybee,38.427902024587,0.03724458303961734
24,3,jockey,39.24614019393921,0.09448702849399895
25,3,readysetgo,39.75252343495687,0.134264733202271
26,3,shakendry,37.94716926574707,0.15330714442249188
27,3,yachtride,40.08046106974284,0.17180831025049031
28,4,beauty,36.557417221069336,0.4689979963388953
29,4,bosphorus,41.8317125193278,0.08720866927472652
30,4,honeybee,38.83526043574015,0.08977977048143929
31,4,jockey,39.765326487223305,0.1604601136949327
32,4,readysetgo,40.53875019709269,0.19064631850003214
33,4,shakendry,38.79478982289632,0.25061332744080345
34,4,yachtride,40.927639656066894,0.23723587360146606
